_id,uuid,provider_id,_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302c59b89,M3YG9R3BD,undefined,5885864dbebc58b0fe92b09302c57927,M3YG9R3BD,15,UCNE
5885864dbebc58b0fe92b09302c5f1a3,6YVKQMN9W,undefined,5885864dbebc58b0fe92b09302c5c6ac,6YVKQMN9W,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c5ab66,VHPPV6ANJ,undefined,5885864dbebc58b0fe92b09302c58e2d,VHPPV6ANJ,15,UCNE
5885864dbebc58b0fe92b09302c56e83,9VRW4N09K,undefined,5885864dbebc58b0fe92b09302c493f2,9VRW4N09K,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bfe2e4,7Y29ZH96C,undefined,5885864dbebc58b0fe92b09302bfb9b4,7Y29ZH96C,15,UCNE
5885864dbebc58b0fe92b09302c55d5d,W7MD07YF=,undefined,5885864dbebc58b0fe92b09302c505d0,W7MD07YF=,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c57eaf,P933GBPRC,undefined,5885864dbebc58b0fe92b09302c55aee,P933GBPRC,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c51d98,EPH9PYNWY,undefined,5885864dbebc58b0fe92b09302c4fc83,EPH9PYNWY,15,UCNE
5885864dbebc58b0fe92b09302bf3197,Z51T79G8Q,undefined,5885864dbebc58b0fe92b09302bf1da3,Z51T79G8Q,15,UCNE
5885864dbebc58b0fe92b09302c4a2ff,3KF1QN5JJ,undefined,5885864dbebc58b0fe92b09302c48216,3KF1QN5JJ,15,UCNE
5885864dbebc58b0fe92b09302c406aa,PYGRFQQ67,undefined,5885864dbebc58b0fe92b09302c33a08,PYGRFQQ67,15,UCNE
5885864dbebc58b0fe92b09302c4f4b6,J4K03DF7K,undefined,5885864dbebc58b0fe92b09302c49a3f,J4K03DF7K,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c4772e,6SAB076B=,undefined,5885864dbebc58b0fe92b09302c4207a,6SAB076B=,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bed932,NMWF5BMRV,undefined,5885864dbebc58b0fe92b09302bec881,NMWF5BMRV,15,UCNE
5885864dbebc58b0fe92b09302c42cb3,K2QKNQ8VU,undefined,5885864dbebc58b0fe92b09302c41be0,K2QKNQ8VU,15,UCNE
5885864dbebc58b0fe92b09302c4181b,MFANGJCEV,undefined,5885864dbebc58b0fe92b09302c3ff7c,MFANGJCEV,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c34048,H3GYK3DCG,undefined,5885864dbebc58b0fe92b09302c2ed68,H3GYK3DCG,15,UCNE
5885864dbebc58b0fe92b09302be6efc,T6W9RSK0M,undefined,5885864dbebc58b0fe92b09302be3add,T6W9RSK0M,15,UCNE
5885864dbebc58b0fe92b09302c3f775,WCZ4170B$,undefined,5885864dbebc58b0fe92b09302c34ec0,WCZ4170B$,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c3a53c,GSGM9Q60H,undefined,5885864dbebc58b0fe92b09302c32db5,GSGM9Q60H,15,UCNE
5885864dbebc58b0fe92b09302c28c2a,5MKTGJGZW,undefined,5885864dbebc58b0fe92b09302c269bc,5MKTGJGZW,15,UCNE
5885864dbebc58b0fe92b09302bdf270,JK71ZYWN~,undefined,5885864dbebc58b0fe92b09302bcc710,JK71ZYWN~,15,UCNE
5885864dbebc58b0fe92b09302c32409,3YCY94JH1,undefined,5885864dbebc58b0fe92b09302c2dfaf,3YCY94JH1,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c2d65c,3XYJ8KNBT,undefined,5885864dbebc58b0fe92b09302c2c39a,3XYJ8KNBT,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bc4e06,Q2SAG188P,undefined,5885864dbebc58b0fe92b09302bc23ad,Q2SAG188P,15,UCNE
5885864dbebc58b0fe92b09302c2cdae,29G7RR94Q,undefined,5885864dbebc58b0fe92b09302c2802d,29G7RR94Q,6,"IDDI (Santo Domingo/Distrito Nacional)"
