_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302b34991,1QYVV2PB4,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b3a6fb,9EK4MFJ2Y,15,UCNE
5885864dbebc58b0fe92b09302abd668,81B7MWBKU,15,UCNE
5885864dbebc58b0fe92b09302b2cc44,F15HP3JQW,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302aad054,CWN795D9M,15,UCNE
5885864dbebc58b0fe92b09302b28a5c,DK44CW4JE,15,UCNE
5885864dbebc58b0fe92b09302b0cec2,SM3BQBVW2,15,UCNE
5885864dbebc58b0fe92b09302b1eedd,ZMFJYHPNW,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b15d91,TYG6QVFZQ,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302b11e44,7F26DEWVU,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302b111eb,59ASVW4Z=,15,UCNE
5885864dbebc58b0fe92b09302a9aa78,Y26ZKRHTC,15,UCNE
5885864dbebc58b0fe92b09302b0e7aa,BX525NATF,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302ae87fd,STZPAS4M2,15,UCNE
5885864dbebc58b0fe92b09302afe2f4,R1YVEE6CP,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302b0854c,5NC29PF8V,15,UCNE
5885864dbebc58b0fe92b09302b074b1,F2G3QSFSH,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302af3766,MBAJSD2PR,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302a80e68,TJTXSR3FE,15,UCNE
5885864dbebc58b0fe92b09302af36c1,MQJ923F59,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302aef29f,AZJK1N54A,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302adcbc4,GFS45S1P8,15,UCNE
5885864dbebc58b0fe92b09302ac8f21,ZVDFYJEKZ,15,UCNE
5885864dbebc58b0fe92b09302a6dade,0TF0YHFSQ,15,UCNE
5885864dbebc58b0fe92b09302ae389d,GAB73ZKC=,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302adbf4f,1VHZ66PRZ,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302a66bc4,SR7C0ZP8R,15,UCNE
5885864dbebc58b0fe92b09302aad913,RHV3BB7FE,15,UCNE
5885864dbebc58b0fe92b09302ac7f92,Z50FW9TYN,15,UCNE
5885864dbebc58b0fe92b09302abefa0,YCRY9B62U,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302aba5bc,7465BZ8MV,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302a40452,2PCEDMFBF,15,UCNE
5885864dbebc58b0fe92b09302ab62bc,VZAC110R5,15,UCNE
5885864dbebc58b0fe92b09302aab681,1WWX8NWS~,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302a91838,KTWGJWA6Y,15,UCNE
5885864dbebc58b0fe92b09302aaa87a,M4RNSFC3B,15,UCNE
5885864dbebc58b0fe92b09302a33d5b,6YWFEEAP$,15,UCNE
5885864dbebc58b0fe92b09302aa0444,N5YE74J4T,15,UCNE
